feature,importance,rank
auth_installments_min,82.2,187
new_city_id_nunique,69.4,188
new_state_id_nunique,68.8,189
hist_category_2_4.0_mean,63.2,190
new_month_lag_min,62.2,191
new_category_2_4.0_mean,54.6,192
new_category_2_3.0_mean,52.0,193
new_category_2_5.0_mean,51.2,194
new_category_3_A_mean,47.4,195
hist_category_2_2.0_mean,45.6,196
hist_installments_min,33.8,197
auth_purchase_dayofweek_max,28.2,198
new_category_2_2.0_mean,26.6,199
auth_purchase_dayofweek_min,19.8,200
auth_category_3_A_mean,3.0,201
new_is_weekend_max,1.6,202
hist_is_weekend_max,0.8,203
new_is_weekend_min,0.8,204
hist_is_weekend_min,0.2,205
auth_is_weekend_max,0.2,206
auth_is_weekend_min,0.0,207
